Rank,Country,Points,Confederation
1,Argentina,1877.27,CONMEBOL
2,Spain,1874.71,UEFA
3,France,1870.7,UEFA
4,England,1828.02,UEFA
5,Portugal,1767.85,UEFA
6,Brazil,1765.86,CONMEBOL
7,Morocco,1755.1,CAF
8,Netherlands,1753.57,UEFA
9,Belgium,1742.24,UEFA
10,Germany,1735.77,UEFA
11,Croatia,1714.87,UEFA
12,Italy,1704.73,UEFA
13,Colombia,1698.35,CONMEBOL
14,Mexico,1687.48,CONCACAF
15,Senegal,1684.07,CAF
16,Uruguay,1673.07,CONMEBOL
17,USA,1671.23,CONCACAF
18,Japan,1661.58,AFC
19,Switzerland,1650.06,UEFA
20,IR Iran,1619.58,AFC
21,Denmark,1619.47,UEFA
22,Türkiye,1605.73,
23,Ecuador,1598.52,CONMEBOL
24,Austria,1597.4,UEFA
25,Korea Republic,1591.63,AFC
26,Nigeria,1585.02,CAF
27,Australia,1579.34,AFC
28,Algeria,1571.03,CAF
29,Egypt,1562.37,CAF
30,Canada,1559.48,CONCACAF
31,Norway,1557.44,UEFA
32,Ukraine,1549.29,UEFA
33,Côte d'Ivoire,1540.87,CAF
34,Panama,1539.16,CONCACAF
35,Russia,1529.6,UEFA
36,Poland,1526.18,UEFA
37,Wales,1516.95,UEFA
38,Sweden,1509.79,UEFA
39,Hungary,1506.39,UEFA
40,Czechia,1505.74,UEFA
41,Paraguay,1505.35,CONMEBOL
42,Scotland,1503.34,UEFA
43,Serbia,1502.13,UEFA
44,Cameroon,1481.24,CAF
45,Tunisia,1476.41,CAF
46,Congo DR,1474.43,CAF
47,Slovakia,1473.66,UEFA
48,Greece,1473.19,UEFA
49,Venezuela,1469.18,CONMEBOL
50,Uzbekistan,1458.73,AFC
51,Chile,1458.2,CONMEBOL
52,Peru,1457.69,CONMEBOL
53,Costa Rica,1456.03,CONCACAF
54,Romania,1455.89,UEFA
55,Mali,1455.59,CAF
56,Qatar,1450.31,AFC
57,Iraq,1446.28,AFC
58,Republic of Ireland,1441.1,UEFA
59,Slovenia,1441.09,UEFA
60,South Africa,1428.38,CAF
61,Saudi Arabia,1423.88,AFC
62,Burkina Faso,1406.99,CAF
63,Jordan,1387.74,AFC
64,Bosnia and Herzegovina,1387.22,UEFA
65,Honduras,1378.97,CONCACAF
66,Albania,1376.03,UEFA
67,Cabo Verde,1371.11,CAF
68,United Arab Emirates,1370.47,AFC
69,North Macedonia,1369.16,UEFA
70,Northern Ireland,1365.3,UEFA
71,Jamaica,1357.84,CONCACAF
72,Georgia,1355.26,UEFA
73,Ghana,1346.88,CAF
74,Iceland,1342.77,UEFA
75,Finland,1341.92,UEFA
76,Israel,1333.9,UEFA
77,Bolivia,1326,CONMEBOL
78,Kosovo,1319.12,UEFA
79,Oman,1306.9,AFC
80,Montenegro,1301.98,UEFA
81,Guinea,1295.6,CAF
82,Curaçao,1294.77,CONCACAF
83,Haiti,1293.1,CONCACAF
84,Syria,1283.05,AFC
85,New Zealand,1275.58,OFC
86,Gabon,1272.51,CAF
87,Bulgaria,1271.68,UEFA
88,Angola,1265.58,CAF
89,Uganda,1264.09,CAF
90,Zambia,1255.82,CAF
91,China PR,1254.81,AFC
92,Bahrain,1254.41,AFC
93,Benin,1252.17,CAF
94,Thailand,1250.8,AFC
95,Palestine,1243.71,AFC
96,Belarus,1242.88,UEFA
97,Guatemala,1238.74,CONCACAF
98,Luxembourg,1232.82,UEFA
99,Vietnam,1225.68,AFC
100,El Salvador,1225.34,CONCACAF
101,Tajikistan,1224.19,AFC
102,Trinidad and Tobago,1219.59,CONCACAF
103,Mozambique,1218.62,CAF
104,Madagascar,1202.69,CAF
105,Equatorial Guinea,1195.2,CAF
106,Kyrgyz Republic,1192.16,AFC
107,Armenia,1189.63,UEFA
108,Comoros,1187.91,CAF
109,Kenya,1185.08,CAF
110,Libya,1182.08,CAF
111,Kazakhstan,1180.78,UEFA
112,Tanzania,1180.27,CAF
113,Mauritania,1176.68,CAF
